Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Name
XM_038046777.1,3070.971327,0.126571762,0.208057431,0.608350113,0.542955291,0.621083077,nan
XM_038046778.1,3123.28524,0.00427609,0.097430401,0.043888661,0.964993154,0.982245142,nan
XM_038046779.1,1217.872331,-0.427401093,0.522352066,-0.818224185,0.413229188,0.491835718,nan
XM_038046780.1,1196.773839,-0.410513278,0.532504181,-0.770910901,0.440759745,0.520430674,nan
XM_038046781.1,0,NA,NA,NA,NA,NA,OBP70
XM_038046782.1,248.6512137,-0.18903901,0.123081781,-1.535881332,0.124567487,0.167974886,nan
XM_038046783.1,0.147783626,-0.96150957,3.662339012,-0.26253975,0.792905344,0.847485365,nan
XM_038046784.1,5.763728618,-4.362201053,0.961308395,-4.537774842,5.68509115661249e-06,1.35442175598645e-05,nan
XM_038046785.1,944.6314464,0.115183123,0.241234191,0.477474283,0.633024429,0.70714274,nan
XM_038046786.1,944.6314464,0.115183123,0.241234191,0.477474283,0.633024429,0.70714274,nan
XM_038046787.1,944.6314464,0.115183123,0.241234191,0.477474283,0.633024429,0.70714274,nan
XM_038046788.1,6.245273378,2.014613078,1.000456435,2.013693958,0.044041675,0.064341235,nan
XM_038046789.1,6.245273378,2.014613078,1.000456435,2.013693958,0.044041675,0.064341235,nan
XM_038046790.1,0.110887338,0.641454819,3.662339012,0.175148946,0.860962599,0.902429542,nan
XM_038046791.1,5.246954914,-6.338642979,1.105206107,-5.735258734,9.73635985384079e-09,3.06901841554618e-08,nan
XM_038046792.1,1.478163523,-2.321873624,1.588707003,-1.461486366,0.143882015,0.191801096,nan
XM_038046793.1,312.142434,0.383870466,0.180379208,2.128130348,0.033326278,0.049663322,nan
XM_038046794.1,7.39074573,-2.369131567,0.898950342,-2.635442088,0.008402776,0.013681629,nan
XM_038046795.1,3.14105584,-3.300997693,0.974821386,-3.386259001,0.000708525,0.001326347,nan
XM_038046796.1,15.7418941,-1.56476071,0.473230327,-3.306552055,0.000944518,0.001738614,nan
XM_038046797.1,1545.204538,1.942635015,0.141633598,13.71591942,8.15263359548682e-43,2.12868551926321e-41,nan
XM_038046798.1,9082.918336,-0.265732324,0.304593286,-0.872416879,0.382980996,0.460423313,nan
XM_038046799.1,689.829557,0.439373224,0.114938133,3.822693241,0.000132002,0.000269885,nan
XM_038046800.1,2401.797255,0.170400119,0.061825338,2.756153461,0.005848555,0.00973809,nan
XM_038046801.1,0.073914216,-0.320320374,3.662339012,-0.087463332,0.93030323,0.953210087,nan
XM_038046802.1,117.6202954,0.244142515,0.341541181,0.714825997,0.474716569,0.554624342,nan
XM_038046803.1,18.32874807,1.35033028,0.523228498,2.580765925,0.00985814,0.015883061,nan
XM_038046804.1,19.14070039,-0.804215292,0.330190366,-2.435611011,0.014866662,0.023346981,nan
XM_038046805.1,18.91897111,-0.854488034,0.332418672,-2.570517563,0.010154668,0.016332998,nan
XM_038046806.1,92.56720259,0.070569896,0.295312693,0.238966688,0.811131414,0.863699219,nan
XM_038046807.1,656.7584511,0.403363509,0.133373435,3.024316723,0.002491954,0.004361165,nan
XM_038046808.1,2.069412962,0.710780777,1.1704687,0.607261669,0.543677272,0.621677646,nan
XM_038046809.1,156.1967252,-2.091832753,0.454309858,-4.604418582,4.13619793059906e-06,9.99449104047691e-06,nan
XM_038046810.1,5295.005446,-0.841677334,0.118534085,-7.100719896,1.24108690854907e-12,5.71643700424585e-12,nan
XM_038046811.1,5295.005446,-0.841677334,0.118534085,-7.100719896,1.24108690854907e-12,5.71643700424585e-12,nan
XM_038046812.1,6538.726174,-1.046504254,0.14602013,-7.166849191,7.67434902399598e-13,3.62508716332255e-12,nan
XM_038046813.1,7732.385623,-1.186512936,0.166929856,-7.107853371,1.17861676179609e-12,5.44296993487356e-12,nan
XM_038046814.1,61.23089488,0.233412805,0.233121658,1.001248906,0.316706488,0.390579261,nan
XM_038046815.1,1153.558189,0.66411816,0.109737499,6.051879856,1.43165231168933e-09,4.86456824660858e-09,nan
XM_038046816.1,34.47706904,0.376079299,0.391037811,0.961746635,0.33617689,0.411284017,nan
XM_038046817.1,13.15488006,0.617675167,0.493558365,1.251473405,0.210761811,0.270727883,nan
XM_038046818.1,410.9523913,1.018913004,0.154077536,6.612988691,3.76637237098394e-11,1.48791671758306e-10,nan
XM_038046819.1,410.9523913,1.018913004,0.154077536,6.612988691,3.76637237098394e-11,1.48791671758306e-10,nan
XM_038046820.1,0.073911011,0,3.662339012,0,1,1,nan
XM_038046821.1,410.9523913,1.018913004,0.154077536,6.612988691,3.76637237098394e-11,1.48791671758306e-10,nan
XM_038046822.1,410.9523913,1.018913004,0.154077536,6.612988691,3.76637237098394e-11,1.48791671758306e-10,nan
XM_038046823.1,281.651729,0.229140088,0.131849849,1.737886609,0.082230796,0.114656953,nan
XM_038046824.1,281.651729,0.229140088,0.131849849,1.737886609,0.082230796,0.114656953,nan
XM_038046825.1,370.8189022,0.430119489,0.167087869,2.574211341,0.010046888,0.016169159,nan
XM_038046826.1,435.1865127,0.242795544,0.125667446,1.932048048,0.053353576,0.07662528,nan
XM_038046827.1,692.8627691,0.038575645,0.16028054,0.240675789,0.809806405,0.862512378,nan
