Gene,converted_alias,Gene-id,description,GO_Name,GO_Domain
XM_038049274.1,GO:0016020,LOC119647934,"tetraspanin-18, transcript variant X2",membrane,cellular_component
XM_038049275.1,GO:0005515,LOC119647924,"uncharacterized LOC119647924, transcript variant X3",protein binding,molecular_function
XM_038049276.1,GO:0016020,LOC119647934,"tetraspanin-18, transcript variant X2",membrane,cellular_component
XM_038049277.1,GO:0016020,LOC119647934,"tetraspanin-18, transcript variant X2",membrane,cellular_component
XM_038049278.1,nan,,,,
XM_038049279.1,nan,,,,
XM_038049280.1,nan,,,,
XM_038049281.1,nan,,,,
XM_038049282.1,GO:0016020,LOC119647937,"uncharacterized LOC119647937, transcript variant X3",membrane,cellular_component
XM_038049283.1,GO:0016020,LOC119647937,"uncharacterized LOC119647937, transcript variant X3",membrane,cellular_component
XM_038049284.1,GO:0005515,LOC119647924,"uncharacterized LOC119647924, transcript variant X3",protein binding,molecular_function
