Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Name
XM_038046553.1,5195.998089,-7.051289092,0.346826765,-20.33086773,6.85789591520687e-92,5.22219219598849e-90,nan
XM_038046554.1,1.071567227,2.310643819,1.879132592,1.229633198,0.218834492,0.278869135,nan
XM_038046555.1,0.554320506,-1.274220617,2.087497363,-0.610405857,0.541592989,0.618949036,nan
XM_038046556.1,2.586807479,-0.07406515,0.87115307,-0.085019674,0.932245749,0.948637477,nan
XM_038046557.1,0.110858767,-0.961928621,3.662388135,-0.262650649,0.792819858,0.847160293,nan
XM_038046558.1,2.586807479,-0.07406515,0.87115307,-0.085019674,0.932245749,0.948637477,nan
XM_038046559.1,488.1579122,5.488289166,0.389847137,14.07805432,5.18168563316914e-45,1.00116841974413e-43,nan
XM_038046560.1,1376.910087,1.533142622,0.17199456,8.913901843,4.92674425949153e-19,2.67088829196504e-18,nan
XM_038046561.1,2.217138804,1.338638316,1.020616217,1.311598125,0.189655766,0.245320706,nan
XM_038046562.1,119.2500031,-0.441963312,0.304198715,-1.452876985,0.146257912,0.193613647,nan
XM_038046563.1,612.225806,-1.368466942,0.433651376,-3.155684535,0.001601219,0.002816534,nan
XM_038046564.1,1.293274756,1.077897854,1.585094732,0.680021094,0.496491104,0.574809685,nan
XM_038046565.1,100.3227649,0.399938227,0.402668687,0.993219091,0.320603197,0.392413846,nan
