Gene_ID,Family,Antenna,Palp,Tarsi,Expr_Status,Antenna_Biased,Palp_Biased,Tarsi_Biased,Antenna_Specific,Palp_Specific,Tarsi_Specific,Antenna_Class,Palp_Class,Tarsi_Class,Cluster_Rep,Is_Duplicate
OR58,OR,49.72066044666666,0.0,2.0675243776666665,Expressed,True,False,False,True,False,False,Antenna-specific,Not expressed,Not expressed,OR58,False
OR90,OR,49.72066044666666,0.0907823731111111,2.0675243776666665,Expressed,True,False,False,True,False,False,Antenna-specific,Not expressed,Not expressed,OR90,False
OR150,OR,626.0095374444445,0.0,0.9937089272222224,Expressed,True,False,False,True,False,False,Antenna-specific,Not expressed,Not expressed,OR150,False
OR115,OR,420.94700415555553,3.3045292472222223,3.683758139,Expressed,True,False,False,True,False,False,Antenna-specific,Not expressed,Not expressed,OR115,False
OR33,OR,866.034970388889,0.5726976904444445,1.4632859006666668,Expressed,True,False,False,True,False,False,Antenna-specific,Not expressed,Not expressed,OR33,False
OR23,OR,4253.094857833334,0.523014421,4.135926698111111,Expressed,True,False,False,True,False,False,Antenna-specific,Not expressed,Not expressed,OR23,False
OR148,OR,995.4215545888889,0.7462446868888889,4.230628015555555,Expressed,True,False,False,True,False,False,Antenna-specific,Not expressed,Not expressed,OR148,False
OR31,OR,52.16930116666667,0.6732709206666667,0.0,Expressed,True,False,False,True,False,False,Antenna-specific,Not expressed,Not expressed,OR31,False
OR196,OR,48.89534321666667,1.212002766111111,2.133770033111111,Expressed,True,False,False,True,False,False,Antenna-specific,Not expressed,Not expressed,OR196,False
OR28,OR,274.5996034477778,0.2397929298888889,0.9125829766666668,Expressed,True,False,False,True,False,False,Antenna-specific,Not expressed,Not expressed,OR28,False
OR40,OR,274.5996034477778,0.2397929298888889,0.9125829766666668,Expressed,True,False,False,True,False,False,Antenna-specific,Not expressed,Not expressed,OR40,False
OR30,OR,533.2661009444445,9.166526688777775,22.068194256222224,Expressed,True,False,False,False,False,False,Antenna-biased,Not expressed,Expressed,OR30,False
OR18,OR,142.06461899044444,0.3928955273333333,4.316429358888889,Expressed,True,False,False,True,False,False,Antenna-specific,Not expressed,Not expressed,OR18,False
OR153,OR,311.0755178952222,1.0747580692222225,2.6698978792222223,Expressed,True,False,False,True,False,False,Antenna-specific,Not expressed,Not expressed,OR153,False
OR72,OR,86.15971343888889,0.0,0.0,Expressed,True,False,False,True,False,False,Antenna-specific,Not expressed,Not expressed,OR72,False
OR66,OR,268.14553423333336,0.0730579257777777,0.1148235451111111,Expressed,True,False,False,True,False,False,Antenna-specific,Not expressed,Not expressed,OR66,False
OR32,OR,258.84732121555555,5.208794435,8.36166947511111,Expressed,True,False,False,True,False,False,Antenna-specific,Not expressed,Not expressed,OR32,False
OR117,OR,34.04366452666667,0.0730579257777777,0.0,Expressed,True,False,False,True,False,False,Antenna-specific,Not expressed,Not expressed,OR117,False
OR151,OR,118.45796374666666,1.7952147767777775,0.8905201954444444,Expressed,True,False,False,True,False,False,Antenna-specific,Not expressed,Not expressed,OR151,False
OR152,OR,130.36569215,1.0907014082222222,1.3121802312222222,Expressed,True,False,False,True,False,False,Antenna-specific,Not expressed,Not expressed,OR152,False
OR154,OR,65.93253131666667,0.766815526111111,1.0587424161111112,Expressed,True,False,False,True,False,False,Antenna-specific,Not expressed,Not expressed,OR154,False
OR125,OR,26.044697929,3.1654608805555555,115.14870041111112,Expressed,False,False,True,False,False,False,Expressed,Not expressed,Tarsi-biased,OR125,False
OR155,OR,41.54845978155556,1.304594425222222,0.0,Expressed,True,False,False,True,False,False,Antenna-specific,Not expressed,Not expressed,OR155,False
OR108,OR,249.01724163333333,0.0730579257777777,0.5945432587777778,Expressed,True,False,False,True,False,False,Antenna-specific,Not expressed,Not expressed,OR108,False
OR92,OR,142.98220794444444,0.4626520804444444,2.128182727,Expressed,True,False,False,True,False,False,Antenna-specific,Not expressed,Not expressed,OR92,False
OR106,OR,15.500595891444444,0.0,0.0,Expressed,True,False,False,True,False,False,Antenna-specific,Not expressed,Not expressed,OR106,False
OR110,OR,237.11071383266665,5.37062598,12.986502636222223,Expressed,True,False,False,False,False,False,Antenna-biased,Not expressed,Expressed,OR110,False
OR128,OR,283.9334728333333,0.0,0.3988593388888889,Expressed,True,False,False,True,False,False,Antenna-specific,Not expressed,Not expressed,OR128,False
OR132,OR,1539.9205929444445,222.57202313333332,1661.4718746555554,Expressed,False,False,False,False,False,False,Expressed,Expressed,Expressed,OR132,False
OR129,OR,268.88754269888886,15.576647813666666,11.106167839888888,Expressed,True,False,False,False,False,False,Antenna-biased,Expressed,Expressed,OR129,False
OR130,OR,268.88754269888886,15.576647813666666,11.106167839888888,Expressed,True,False,False,False,False,False,Antenna-biased,Expressed,Expressed,OR130,False
OR156,OR,30.35584865822222,0.5023037615555556,0.4796091626666666,Expressed,True,False,False,True,False,False,Antenna-specific,Not expressed,Not expressed,OR156,False
OR84,OR,204.70476196666667,0.2249530378888888,0.0,Expressed,True,False,False,True,False,False,Antenna-specific,Not expressed,Not expressed,OR84,False
OR36,OR,1376.6622302555556,0.2327587085555555,0.1659340724444444,Expressed,True,False,False,True,False,False,Antenna-specific,Not expressed,Not expressed,OR36,False
OR112,OR,1.6784094403333334,0.7256430544444444,0.4732463662222222,Not expressed,False,False,False,False,False,False,Not expressed,Not expressed,Not expressed,OR112,False
OR124,OR,2337.765210988889,59.56670029222222,81.73762521444445,Expressed,True,False,False,False,False,False,Antenna-biased,Expressed,Expressed,OR124,False
OR127,OR,138.57623019555555,0.7452054978888889,4.320643279666667,Expressed,True,False,False,True,False,False,Antenna-specific,Not expressed,Not expressed,OR127,False
OR53,OR,0.4633759878888889,0.0730579257777777,0.66373629,Not expressed,False,False,False,False,False,False,Not expressed,Not expressed,Not expressed,OR53,False
