Gene,Ant_VF1,Ant_VF2,Ant_VF3,Ant_Vm1,Ant_Vm2,Ant_Vm3,Name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
XM_038046545.1,19594.06458,20630.65453,22221.10715,12584.15716,21785.73449,24192.12959,nan,19989.59136,-0.077307655,0.249968631,-0.309269424,0.757116588,0.9169624
XM_038046546.1,18710.07849,18505.63107,20430.1995,12272.17057,20329.61856,22105.39436,nan,18559.1098,-0.060231772,0.236860114,-0.254292591,0.799269523,0.938536518
XM_038046547.1,168.2685389,214.9135718,223.616093,335.0191591,183.0915,232.9531466,nan,224.3314223,0.320204624,0.418357486,0.76538519,0.444042209,0.741749147
XM_038046548.1,366.502708,333.378126,297.8249734,326.6436801,313.4095677,292.0116908,nan,318.6140927,-0.08482744,0.305220641,-0.277921701,0.781072465,0.929572662
XM_038046549.1,1253.946372,1851.401794,1467.356929,1082.530658,1481.964141,1236.948398,nan,1382.500237,-0.252355266,0.249700028,-1.010633712,0.312191775,0.640697035
XM_038046550.1,784.8690067,809.3330605,721.3103176,573.7203099,1228.867068,1047.742321,nan,853.8293584,0.315361524,0.328423575,0.960228033,0.336940461,0.6652395
XM_038046551.1,94.50698759,176.124293,111.8080465,0,26.92522059,71.0889884,nan,79.29649709,-1.947485372,1.200204059,-1.62262855,0.104668834,0.367823799
XM_038046552.1,11089.58823,9090.319906,10839.4438,5253.519188,8090.490284,7257.638877,nan,8516.706325,-0.57561786,0.211334908,-2.723723528,0.006455052,0.054628387
XM_038046553.1,11089.58823,9090.319906,10839.4438,5253.519188,8090.490284,7257.638877,nan,8516.706325,-0.57561786,0.211334908,-2.723723528,0.006455052,0.054628387
XM_038046554.1,0,0,0.989451739,0,0,0,nan,0.164392957,-0.947770792,4.080472857,-0.232269844,0.816328433,NA
XM_038046555.1,8.067669672,0,0,0,0,0,nan,1.311437465,-3.840217211,3.939997881,-0.974674943,0.329721526,NA
XM_038046556.1,8.067669672,0,0.989451739,2.093869744,10.77008824,0,nan,3.628304506,0.544430102,3.109811807,0.175068504,0.861025806,NA
XM_038046557.1,0,0,0,0,0,0,nan,0,NA,NA,NA,NA,NA
XM_038046558.1,8.067669672,0,0.989451739,2.093869744,10.77008824,0,nan,3.628304506,0.544430102,3.109811807,0.175068504,0.861025806,NA
XM_038046559.1,224.7422266,172.9792163,214.7110273,988.3065192,413.5713883,691.2037026,nan,447.8956019,1.78534444,0.395378831,4.515528651,6.31590063677892e-06,0.000217095
XM_038046560.1,965.8153122,1099.728472,1010.230225,1760.944455,1121.166185,1192.107652,nan,1181.184219,0.418452605,0.256555228,1.631042985,0.10288125,0.36383284
XM_038046561.1,0,0,0,0,0,0,nan,0,NA,NA,NA,NA,NA
XM_038046562.1,205.1493145,379.505917,343.3397534,81.66092002,137.8571294,73.27634189,nan,201.1651356,-1.650551248,0.483761183,-3.411913369,0.000645086,0.009027193
XM_038046563.1,1891.292276,1484.476184,1621.7114,2619.43105,3017.778724,2806.374527,nan,2222.1311,0.771072441,0.189180139,4.0758636,4.58438869375405e-05,0.001139809
XM_038046564.1,0,0,0.989451739,0,0,1.093676745,nan,0.331368087,0.014009887,4.080472857,0.003433398,0.99726055,NA
XM_038046565.1,11.52524239,71.28840429,22.75738999,295.2356339,16.15513236,1.093676745,nan,68.99289544,1.563681097,1.428566807,1.094580309,0.273700546,0.61082197
XM_038046566.1,1024.594048,779.9790117,813.3293293,1371.484682,1247.176218,857.4425678,nan,1006.277899,0.421683055,0.273199372,1.543499358,0.122709663,0.397924547
XM_038046567.1,39.18582412,116.3678364,26.71519695,205.1992349,33.38727354,0,nan,69.26772238,0.393992856,1.432674402,0.275005162,0.783312272,0.930346106
XM_038046568.1,178.641257,149.9153208,184.0380234,544.4061335,211.0937294,61.2458977,OR184,219.300682,0.679582816,0.696244561,0.97606912,0.329030213,0.658495117
XM_038046569.1,178.641257,149.9153208,184.0380234,544.4061335,211.0937294,61.2458977,OR183,219.300682,0.679582816,0.696244561,0.97606912,0.329030213,0.658495117
XM_038046570.1,135.9978602,357.4903804,319.5929116,169.6034493,150.7812353,527.1521909,nan,274.783341,0.077706088,0.611383203,0.127098827,0.89886218,0.972877467
XM_038046571.1,94.50698759,114.2711186,169.1962473,136.1015334,183.0915,106.0866442,nan,132.6088608,0.181980571,0.515847291,0.352779929,0.724253432,0.902094719
XM_038046572.1,5163.30859,5327.759862,4688.022338,2340.946374,2644.056662,3932.861574,nan,3975.869738,-0.751761921,0.237799834,-3.161322312,0.001570546,0.017632685
XM_038046573.1,5163.30859,5327.759862,4688.022338,2340.946374,2644.056662,3932.861574,nan,3975.869738,-0.751761921,0.237799834,-3.161322312,0.001570546,0.017632685
XM_038046574.1,293.8936809,376.3608403,496.7047729,316.1743314,490.0390148,787.4472561,nan,456.5967835,0.465019816,0.424591332,1.095217404,0.273421403,0.610391695
XM_038046575.1,933.5446335,933.0394092,888.5276614,573.7203099,2009.698465,1526.772735,nan,1135.64092,0.592130474,0.40822871,1.450487089,0.146922737,0.442667624
XM_038046576.1,1.152524239,0,0,2.093869744,0,0,nan,0.494337856,0.904366853,4.038244823,0.223950477,0.822795838,NA
XM_038046577.1,1548.992577,2468.885178,1915.578566,1457.333342,1414.112586,2211.414378,nan,1819.600274,-0.208729302,0.28112171,-0.742487306,0.45779214,0.750413951
XM_038046578.1,447.1794047,345.9584326,360.1604329,238.7011508,301.5624706,418.8781932,nan,348.90748,-0.248489765,0.361674597,-0.68705341,0.492049072,0.776615072
XM_038046579.1,0,0,0,27.22030667,0,0,nan,4.46051033,5.620204558,3.916655834,1.434949813,0.151301399,NA
XM_038046580.1,19.59291206,0,0,0,1.077008824,0,nan,3.444236018,-4.200258572,3.920092587,-1.071469227,0.2839585,NA
XM_038046581.1,0,0,0,0,0,0,nan,0,NA,NA,NA,NA,NA
XM_038046582.1,57.62621194,106.9326064,72.22997693,18.8448277,215.4017647,2.187353489,nan,78.05085303,0.004518913,1.229195194,0.003676318,0.997066729,0.999430153
XM_038046583.1,14.98281511,14.67702441,42.54642477,23.03256718,26.92522059,0,nan,20.27007215,-0.536326802,1.577056367,-0.340080934,0.73379558,0.907284189
XM_038046584.1,1992.714409,1577.780124,1791.897099,2368.166681,1823.375939,2308.751608,nan,1959.883121,0.291817513,0.209204643,1.394890233,0.163048943,0.470788561
XM_038046585.1,512.8732863,348.0551504,481.8629968,257.5459785,225.0948442,199.0491675,nan,333.7620263,-0.963825848,0.337190991,-2.858397383,0.004257868,0.038855794
XM_038046586.1,0,0,0,0,0,0,nan,0,NA,NA,NA,NA,NA
XM_038046587.1,0,0,0,0,0,0,nan,0,NA,NA,NA,NA,NA
XM_038046588.1,0,0,0,0,0,0,nan,0,NA,NA,NA,NA,NA
