Gene,Ant_MF1,Ant_MF2,Ant_MF3,Ant_VF1,Ant_VF2,Ant_VF3,Name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
XM_038046565.1,61.24067526,36.36510652,14.04645568,11.52524239,71.28840429,22.75738999,nan,35.88462168,-0.0474341,0.741488545,-0.063971453,0.948992957,0.993788233
XM_038046566.1,1133.853091,748.4173536,656.0521064,1024.594048,779.9790117,813.3293293,nan,855.2734719,0.064876222,0.223145381,0.290735223,0.77125383,0.962729556
XM_038046567.1,64.84306792,52.78805785,34.70300815,39.18582412,116.3678364,26.71519695,nan,55.52076958,0.266666528,0.578012407,0.461350872,0.644546893,0.942882695
XM_038046568.1,144.0957065,252.2096097,185.0827101,178.641257,149.9153208,184.0380234,OR184,181.6892444,-0.164331598,0.28855413,-0.56950007,0.569016823,0.928678709
XM_038046569.1,144.0957065,252.2096097,185.0827101,178.641257,149.9153208,184.0380234,OR183,181.6892444,-0.164331598,0.28855413,-0.56950007,0.569016823,0.928678709
XM_038046570.1,398.9649874,292.0939201,372.6442066,135.9978602,357.4903804,319.5929116,nan,311.1120316,-0.372733948,0.32426912,-1.149458659,0.250366904,0.771291931
XM_038046571.1,172.0142496,131.3836107,125.591839,94.50698759,114.2711186,169.1962473,nan,133.8238173,-0.164629079,0.32217565,-0.510991688,0.609356877,0.936720995
XM_038046572.1,6801.317347,5364.439746,5389.70767,5163.30859,5327.759862,4688.022338,nan,5428.862475,-0.192090836,0.140289879,-1.369242295,0.170923549,0.677150649
XM_038046573.1,6801.317347,5364.439746,5389.70767,5163.30859,5327.759862,4688.022338,nan,5428.862475,-0.192090836,0.140289879,-1.369242295,0.170923549,0.677150649
XM_038046574.1,519.6451416,411.7468513,453.6178922,293.8936809,376.3608403,496.7047729,nan,423.4210426,-0.231111635,0.232110287,-0.99569751,0.31939714,0.8303747
XM_038046575.1,1078.916602,913.8199349,763.4661793,933.5446335,933.0394092,888.5276614,nan,914.4670682,0.01813461,0.169359474,0.107077625,0.914727398,0.98562785
XM_038046576.1,3.602392662,0,0,1.152524239,0,0,nan,0.819794068,-1.862841961,3.973556917,-0.468809684,0.639205678,NA
XM_038046577.1,1922.777084,2098.618567,1772.332202,1548.992577,2468.885178,1915.578566,nan,1946.202984,0.050047374,0.183305155,0.27302764,0.784831969,0.96384787
XM_038046578.1,370.1458461,442.246618,389.9957106,447.1794047,345.9584326,360.1604329,nan,391.0469731,-0.043541558,0.202060012,-0.215488247,0.829386674,0.974427392
XM_038046579.1,3.602392662,10.55761157,1.652524198,0,0,0,nan,2.805962107,-4.92868477,2.237922893,-2.202347894,0.027640743,0.288535045
XM_038046580.1,0,0,0,19.59291206,0,0,nan,3.353591987,5.202136311,2.859513198,1.819238434,0.068875062,0.45778668
XM_038046581.1,8.105383491,0,0,0,0,0,nan,1.304228937,-3.824036263,3.843446824,-0.9949497,0.319760729,NA
XM_038046582.1,71.14725508,30.49976676,95.02014136,57.62621194,106.9326064,72.22997693,nan,71.90216164,0.288266357,0.481566978,0.598600756,0.549439152,0.926690321
XM_038046583.1,18.91256148,11.73067952,45.44441543,14.98281511,14.67702441,42.54642477,nan,24.77487824,-0.045327981,0.748617088,-0.060548953,0.951718429,0.994014106
XM_038046584.1,2180.348159,1861.65884,1804.556424,1992.714409,1577.780124,1791.897099,nan,1860.109618,-0.106667629,0.152342603,-0.70018253,0.48381332,0.902663457
XM_038046585.1,312.5075635,417.612191,358.5977509,512.8732863,348.0551504,481.8629968,nan,404.3980434,0.317478872,0.226248909,1.403228301,0.160548771,0.661261456
XM_038046586.1,0,0,0,0,0,0,nan,0,NA,NA,NA,NA,NA
XM_038046587.1,0,0,0,0,0,0,nan,0,NA,NA,NA,NA,NA
XM_038046588.1,0,0,0,0,0,0,nan,0,NA,NA,NA,NA,NA
XM_038046589.1,14.40957065,8.211475666,3.305048395,2.305048478,15.7253833,6.926162172,nan,8.269015429,0.019204226,1.137201848,0.016887262,0.986526555,0.999568951
XM_038046590.1,14.40957065,8.211475666,3.305048395,2.305048478,15.7253833,6.926162172,nan,8.269015429,0.019204226,1.137201848,0.016887262,0.986526555,0.999568951
XM_038046591.1,0.900598166,1.173067952,1.652524198,5.762621194,0,3.957806955,nan,2.336259553,1.339410858,1.98546721,0.674607393,0.499925235,0.908246692
XM_038046592.1,595.2953875,575.9763646,613.9127394,461.0096955,506.3573423,457.1267033,nan,532.3708468,-0.309871207,0.163398874,-1.896409683,0.057905893,0.426464152
XM_038046593.1,0,0,0,0,0,0,nan,0,NA,NA,NA,NA,NA
XM_038046594.1,0,0,6.61009679,0,0,0,nan,1.166699639,-3.662013815,3.944284799,-0.928435446,0.353181739,NA
XM_038046595.1,2559.499987,1720.890686,2004.511852,3262.79612,2074.702237,2260.897223,nan,2305.763288,0.293010719,0.206898196,1.416207221,0.156714842,0.658525194
XM_038046596.1,619.6115379,496.2077438,584.1673038,704.1923099,525.2278022,586.7448811,nan,583.8286207,0.112787756,0.190037431,0.593502845,0.55284468,0.928039934
XM_038046597.1,2.701794497,0,0,0,1.048358887,0,nan,0.655191799,-1.448193857,3.995549171,-0.362451767,0.717014461,NA
XM_038046598.1,2.701794497,0,0,0,1.048358887,0,nan,0.655191799,-1.448193857,3.995549171,-0.362451767,0.717014461,NA
XM_038046599.1,0,0,0,0,0,0,nan,0,NA,NA,NA,NA,NA
XM_038046600.1,1069.910621,975.9925363,1045.221555,1326.555399,1025.294991,1111.154303,nan,1088.533209,0.181120416,0.159372994,1.136456132,0.255765715,0.775592775
XM_038046601.1,864.574239,1449.911989,1371.595084,1368.046272,882.7181826,856.8652058,nan,1128.911218,-0.231588059,0.243902316,-0.949511517,0.342360517,0.83963525
